Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"Gene3",126.835794891836,-2.01177393738348,0.561395552025159,-3.58352311507684,0.000338990749862,0.007463960837227
"Gene7",7.68095724153373,2.60128119900096,0.813228694787488,3.19870808257783,0.001380448715169,0.018066254276261
"Gene13",1.43941954289523,3.53034086510085,1.2556997437626,2.81145304252629,0.004931828898078,0.038997680756233
"Gene24",520.846807833154,-1.63289028584973,0.568224787246866,-2.87366958024011,0.004057331946525,0.034490486390972
"Gene26",23.9595443404113,-2.72474218917654,0.897120742532185,-3.03720788072045,0.002387807199425,0.024925596608554
"Gene30",10.5845845776086,1.80220183905663,0.661325663834277,2.72513519074356,0.006427516299755,0.045544260490723
"Gene35",19.0512207397096,2.09226591925015,0.647054276986266,3.233524595487,0.001222728070343,0.016532618499504
"Gene43",38.6085740428724,-1.61549529464851,0.477042039834252,-3.3864841245644,0.000707943724101,0.011906127631555
"Gene45",17.5575590853703,1.67570481032179,0.621250665996846,2.69730867432228,0.006990244090864,0.047493566148528
"Gene46",2.03166834077345,3.69656640216099,1.32260620425119,2.7949108285439,0.005191403247292,0.040067926762736
"Gene47",1.28594193649588,3.73612059529271,1.37001031451571,2.72707479331162,0.006389855347406,0.045395465173421
"Gene51",34.4767337858809,-1.30806487575724,0.466321031439366,-2.80507373154437,0.005030507100237,0.03955444904645
"Gene54",163.372092734231,1.27076526741692,0.470509537229439,2.70082786185318,0.006916712688389,0.047348200300291
"Gene57",5.63279841856776,2.37443293461102,0.863701577422075,2.74913580880341,0.005975262312382,0.043939547017773
"Gene73",8.35568041784332,1.7154253739312,0.631799914757529,2.71514024276109,0.006624770987861,0.046339380119198
"Gene77",3.8929404840264,3.00774405623671,1.12403444255291,2.67584688010585,0.007454069178778,0.049253250838209
"Gene80",18.1771013464156,-2.28401017177905,0.680896926280081,-3.35441398488491,0.000795332755881,0.012721083977951
"Gene81",3.58324825411593,-2.73356602670796,1.02065391875403,-2.67824967550703,0.007400802845863,0.049253250838209
